Complexity metrics,Tue, 9 Jan 2018 17:59:07 EST
Method,ev(G),iv(G),v(G)
"it.polimi.deib.p2pchat.discovery.RemoteAssistant.isDataNonNull()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteAssistant.isDataNull()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteAssistant.isGetAction()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteAssistant.isGetDataActualSize()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteAssistant.isGetDataClass()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteAssistant.isGetDataHashCode()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteAssistant.isGetDataSize()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteAssistant.isGetDataToString()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteAssistant.isGetFileFromPath()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteAssistant.isHasBundle()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteAssistant.setDataDeepEquals(boolean)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteAssistant.setDataEquals(boolean)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteAssistant.setDataNonNull(boolean)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteAssistant.setDataNull(boolean)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteAssistant.setGetAction(boolean)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteAssistant.setGetDataActualSize(boolean)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteAssistant.setGetDataClass(boolean)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteAssistant.setGetDataHashCode(boolean)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteAssistant.setGetDataSize(boolean)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteAssistant.setGetDataToString(boolean)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteAssistant.setGetFileFromPath(boolean)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteAssistant.setHasBundle(boolean)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteImplementation.getAction()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteImplementation.getDataActualSize()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteImplementation.getDataClass()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteImplementation.getDataHashCode()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteImplementation.getDataSize()",2,3,5
"it.polimi.deib.p2pchat.discovery.RemoteImplementation.getDataToString()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteImplementation.getFileFromPath()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteImplementation.getIntent()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteImplementation.hasBundle()",2,1,2
"it.polimi.deib.p2pchat.discovery.RemoteImplementation.isDataDeepEquals(Object)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteImplementation.isDataEquals(Object)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteImplementation.isDataNonNull()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteImplementation.isDataNull()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteImplementation.setData(Intent)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHandler.RemoteResultsHandler()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHandler.handlerRemoteIntent(Intent)",1,12,12
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.getClone()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.getGetAction()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.getGetBundle()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.getGetBundleKeys()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.getGetDataActualSize()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.getGetDataClass()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.getGetDataHashCode()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.getGetDataSize()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.getGetDataToString()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.getGetFileFromPath()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.getGetObjectFromBundleKey()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.getGetObjectsFromBundle()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.isDataDeepEquals()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.isDataEquals()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.isDataNonNull()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.isDataNull()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.isHasBundle()",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.setClone(Object)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.setDataDeepEquals(boolean)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.setDataEquals(boolean)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.setDataNonNull(boolean)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.setDataNull(boolean)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.setGetAction(String)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.setGetBundle(Bundle)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.setGetBundleKeys(Set<String>)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.setGetDataActualSize(long)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.setGetDataClass(String)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.setGetDataHashCode(int)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.setGetDataSize(long)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.setGetDataToString(String)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.setGetFileFromPath(File)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.setGetObjectFromBundleKey(Object)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.setGetObjectsFromBundle(Set<Object>)",1,1,1
"it.polimi.deib.p2pchat.discovery.RemoteResultsHolder.setHasBundle(boolean)",1,1,1
"it.polimi.deib.p2pchat.discovery.SerializeDeserialize.DeserializeIntent(String)",1,7,7
"it.polimi.deib.p2pchat.discovery.SerializeDeserialize.SerializeDeserialize()",1,1,1
"it.polimi.deib.p2pchat.discovery.SerializeDeserialize.SerializeIntent(Intent)",1,3,3
"it.polimi.deib.p2pchat.discovery.StreamImplementation.getData()",1,1,1
"it.polimi.deib.p2pchat.discovery.StreamImplementation.getFileExtension()",2,2,2
"it.polimi.deib.p2pchat.discovery.StreamImplementation.loadData()",1,4,4
"it.polimi.deib.p2pchat.discovery.StreamImplementation.setContext(Context)",1,1,1
"it.polimi.deib.p2pchat.discovery.StreamImplementation.setData(Intent)",1,1,1
"it.polimi.deib.p2pchat.discovery.TabFragment.SectionsPagerAdapter.SectionsPagerAdapter(FragmentManager)",1,1,1
"it.polimi.deib.p2pchat.discovery.TabFragment.SectionsPagerAdapter.getCount()",1,1,1
"it.polimi.deib.p2pchat.discovery.TabFragment.SectionsPagerAdapter.getItem(int)",2,2,2
"it.polimi.deib.p2pchat.discovery.TabFragment.SectionsPagerAdapter.getPageTitle(int)",3,3,3
"it.polimi.deib.p2pchat.discovery.TabFragment.TabFragment()",1,1,1
"it.polimi.deib.p2pchat.discovery.TabFragment.getChatFragmentByTab(int)",1,1,1
"it.polimi.deib.p2pchat.discovery.TabFragment.getMSectionsPagerAdapter()",1,1,1
"it.polimi.deib.p2pchat.discovery.TabFragment.getMViewPager()",1,1,1
"it.polimi.deib.p2pchat.discovery.TabFragment.getWiFiChatFragmentList()",1,1,1
"it.polimi.deib.p2pchat.discovery.TabFragment.getWiFiP2pServicesFragment()",1,1,1
"it.polimi.deib.p2pchat.discovery.TabFragment.isValidTabNum(int)",1,2,2
"it.polimi.deib.p2pchat.discovery.TabFragment.newInstance()",1,1,1
"it.polimi.deib.p2pchat.discovery.TabFragment.onCreateView(LayoutInflater,ViewGroup,Bundle)",1,1,1
"it.polimi.deib.p2pchat.discovery.TabFragment.setMViewPager(ViewPager)",1,1,1
"it.polimi.deib.p2pchat.discovery.TabFragment.setWiFiChatFragmentList(List<WiFiChatFragment>)",1,1,1
"it.polimi.deib.p2pchat.discovery.TabFragment.setWiFiP2pServicesFragment(WiFiP2pServicesFragment)",1,1,1
"it.polimi.deib.p2pchat.discovery.TabFragment.setmSectionsPagerAdapter(SectionsPagerAdapter)",1,1,1
"it.polimi.deib.p2pchat.discovery.TestClass.TestClass()",1,1,1
"it.polimi.deib.p2pchat.discovery.TestClass.sendCopyIntent()",1,1,1
"it.polimi.deib.p2pchat.discovery.WiFiP2pBroadcastReceiver.WiFiP2pBroadcastReceiver(WifiP2pManager,Channel,Activity)",1,1,1
"it.polimi.deib.p2pchat.discovery.WiFiP2pBroadcastReceiver.onReceive(Context,Intent)",3,5,6
"it.polimi.deib.p2pchat.discovery.actionlisteners.CustomDnsSdTxtRecordListener.onDnsSdTxtRecordAvailable(String,Map<String, String>,WifiP2pDevice)",1,1,1
"it.polimi.deib.p2pchat.discovery.actionlisteners.CustomDnsServiceResponseListener.onDnsSdServiceAvailable(String,String,WifiP2pDevice)",1,4,4
"it.polimi.deib.p2pchat.discovery.actionlisteners.CustomizableActionListener.CustomizableActionListener(Context,String,String,String,String,String)",1,1,2
"it.polimi.deib.p2pchat.discovery.actionlisteners.CustomizableActionListener.onFailure(int)",1,3,4
"it.polimi.deib.p2pchat.discovery.actionlisteners.CustomizableActionListener.onSuccess()",1,3,4
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.WiFiChatFragment()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.addToWaitingToSendQueueAndTryReconnect()",1,2,2
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.getAdapter()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.getChatLine()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.getChatManager()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.getItems()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.getTAG()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.getTabNumber()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.isFirstStartSendAddress()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.isGrayScale()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.newInstance()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.onCreateView(LayoutInflater,ViewGroup,Bundle)",1,4,4
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.pushMessage(String)",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.sendForcedWaitingToSendQueue()",1,5,6
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.setAdapter(WiFiChatMessageListAdapter)",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.setChatLine(TextView)",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.setChatManager(ChatManager)",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.setFirstStartSendAddress(boolean)",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.setGrayScale(boolean)",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.setTabNumber(Integer)",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.updateChatMessageListAdapter()",1,2,2
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatMessageListAdapter.WiFiChatMessageListAdapter(Context,int,WiFiChatFragment)",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatMessageListAdapter.getView(int,View,ViewGroup)",1,7,7
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageException.MessageException()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageException.MessageException(Reason)",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageException.MessageException(String)",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageException.MessageException(String,Throwable)",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageException.MessageException(Throwable)",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageException.getReason()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageFilter.MessageFilter()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageFilter.getInstance()",1,1,1
