Complexity metrics,Tue, 9 Jan 2018 17:58:18 EST,
Method,ev(G),iv(G),v(G)
it.polimi.deib.p2pchat.discovery.MainActivity.setBlockForcedDiscoveryInBroadcastReceiver(boolean),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.setChannel(Channel),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.setChatManager(ChatManager),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.setConnected(boolean),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.setDeviceNameWithReflection(String),1,2,2
it.polimi.deib.p2pchat.discovery.MainActivity.setDisableAllChatManagers(),1,4,4
it.polimi.deib.p2pchat.discovery.MainActivity.setDiscoveryStatus(boolean),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.setManager(WifiP2pManager),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.setReceiver(BroadcastReceiver),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.setRetryChannel(boolean),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.setServiceRequest(WifiP2pDnsSdServiceRequest),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.setSocketHandler(Thread),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.setTabFragment(TabFragment),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.setTabFragmentToPage(int),1,3,3
it.polimi.deib.p2pchat.discovery.MainActivity.setTabNum(int),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.setToolbar(Toolbar),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.setupToolBar(),1,2,2
it.polimi.deib.p2pchat.discovery.MainActivity.startRegistration(),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.tryToConnectToAService(int),1,2,2
it.polimi.deib.p2pchat.discovery.MainActivity.updateServiceAdapter(),1,3,3
it.polimi.deib.p2pchat.discovery.SerializeDeserialize.DeserializeIntent(String),1,7,7
it.polimi.deib.p2pchat.discovery.SerializeDeserialize.SerializeDeserialize(),1,1,1
it.polimi.deib.p2pchat.discovery.SerializeDeserialize.SerializeIntent(Intent),1,3,3
it.polimi.deib.p2pchat.discovery.StreamImplementation.getData(),1,1,1
it.polimi.deib.p2pchat.discovery.StreamImplementation.getFileExtension(),2,2,2
it.polimi.deib.p2pchat.discovery.StreamImplementation.loadData(),1,4,4
it.polimi.deib.p2pchat.discovery.StreamImplementation.setContext(Context),1,1,1
it.polimi.deib.p2pchat.discovery.StreamImplementation.setData(Intent),1,1,1
it.polimi.deib.p2pchat.discovery.TabFragment.SectionsPagerAdapter.SectionsPagerAdapter(FragmentManager),1,1,1
it.polimi.deib.p2pchat.discovery.TabFragment.SectionsPagerAdapter.getCount(),1,1,1
it.polimi.deib.p2pchat.discovery.TabFragment.SectionsPagerAdapter.getItem(int),2,2,2
it.polimi.deib.p2pchat.discovery.TabFragment.SectionsPagerAdapter.getPageTitle(int),3,3,3
it.polimi.deib.p2pchat.discovery.TabFragment.TabFragment(),1,1,1
it.polimi.deib.p2pchat.discovery.TabFragment.getChatFragmentByTab(int),1,1,1
it.polimi.deib.p2pchat.discovery.TabFragment.getMSectionsPagerAdapter(),1,1,1
it.polimi.deib.p2pchat.discovery.TabFragment.getMViewPager(),1,1,1
it.polimi.deib.p2pchat.discovery.TabFragment.getWiFiChatFragmentList(),1,1,1
it.polimi.deib.p2pchat.discovery.TabFragment.getWiFiP2pServicesFragment(),1,1,1
it.polimi.deib.p2pchat.discovery.TabFragment.isValidTabNum(int),1,2,2
