Complexity metrics,Tue, 9 Jan 2018 17:53:56 EST
Method,ev(G),iv(G),v(G)
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.getChatLine()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.getChatManager()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.getItems()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.getTAG()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.getTabNumber()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.isFirstStartSendAddress()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.isGrayScale()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.newInstance()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.onCreateView(LayoutInflater,ViewGroup,Bundle)",1,4,4
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.pushMessage(String)",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.sendForcedWaitingToSendQueue()",1,5,6
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.setAdapter(WiFiChatMessageListAdapter)",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.setChatLine(TextView)",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.setChatManager(ChatManager)",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.setFirstStartSendAddress(boolean)",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.setGrayScale(boolean)",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.setTabNumber(Integer)",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.updateChatMessageListAdapter()",1,2,2
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatMessageListAdapter.WiFiChatMessageListAdapter(Context,int,WiFiChatFragment)",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatMessageListAdapter.getView(int,View,ViewGroup)",1,7,7
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageException.MessageException()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageException.MessageException(Reason)",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageException.MessageException(String)",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageException.MessageException(String,Throwable)",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageException.MessageException(Throwable)",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageException.getReason()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageFilter.MessageFilter()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageFilter.getInstance()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageFilter.getLowerCaseBlackList()",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageFilter.isFiltered(String)",5,2,5
