Complexity metrics,Tue, 9 Jan 2018 18:03:52 EST
Method,ev(G),iv(G),v(G)
"it.polimi.deib.p2pchat.discovery.services.localdeviceguielement.LocalDeviceDialogFragment",1.17,7
"it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager",1.00,1

Package,v(G)avg,v(G)tot
"it.polimi.deib.p2pchat.discovery",2.21,150
"it.polimi.deib.p2pchat.discovery.actionlisteners",3.00,15
"it.polimi.deib.p2pchat.discovery.chatmessages",1.70,39
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter",1.40,14
"it.polimi.deib.p2pchat.discovery.chatmessages.waitingtosend",1.60,8
"it.polimi.deib.p2pchat.discovery.model",1.00,11
"it.polimi.deib.p2pchat.discovery.services",1.85,61
"it.polimi.deib.p2pchat.discovery.services.localdeviceguielement",1.40,7
"it.polimi.deib.p2pchat.discovery.socketmanagers",1.00,1

Module,v(G)avg,v(G)tot
"app",1.90,306

Project,v(G)avg,v(G)tot
"project",1.90,306

